Distribuidora;Codigo;Descripcion;Margen
ARNOIA;I48;ARAZONIA;0.00
ARNOIA;241;ARBORLIBER;0.00
ARNOIA;B58;ARCADIA;0.00
ARNOIA;C55;ARCADIA;0.00
ARNOIA;40;ARCO;0.00
ARNOIA;924;ARCO  -LIBROS;0.00
ARNOIA;896;ARCOPRESS;0.00
ARNOIA;657;ARDI BELTZA;0.00
ARNOIA;851;ARDORA;0.00
ARNOIA;Q04;AREAL EDITORES;0.00
ARNOIA;281;ARENA EDITORIAL;0.00
ARNOIA;Q55;ARES VERLAG;0.00
ARNOIA;H77;ARESTA;0.00
ARNOIA;Y24;ARGENTA EDITORIAL;0.00
ARNOIA;J02;ARGUVAL;0.00
ARNOIA;291;ARIEL;0.00
ARNOIA;C18;ARKANO BOOKS;0.00
ARNOIA;R11;ARMAND COLIN;0.00
ARNOIA;D15;AROLA EDITORS;0.00
ARNOIA;D70;ARTABRO EDITORA;0.00
ARNOIA;Q20;ARTE PLURAL EDIÇOES;0.00
ARNOIA;C78;ARTEC;0.00
ARNOIA;A46;ARTEMISA;0.00
ARNOIA;L83;ARTES ESCENICAS;0.00
ARNOIA;M58;ASA EDIÇOES;0.00
ARNOIA;L29;ASIMETRICAS EDICIONES;0.00
ARNOIA;H17;ASPG;0.00
ARNOIA;C96;ASPPAN;0.00
ARNOIA;M70;ASSIRIO & ALVIM;0.00
ARNOIA;Q00;ASSOCIACIO UNESCO;0.00
ARNOIA;H60;ASTIBERRI;0.00
ARNOIA;382;ASTIBERRI;0.00
ARNOIA;459;ATALANTA EDITORIAL;0.00
ARNOIA;D26;ATANOR;0.00
ARNOIA;993;ATELES;0.00
ARNOIA;C60;ATELIER;0.00
ARNOIA;J45;ATENEA;0.00
ARNOIA;440;ATENEO;0.00
ARNOIA;C88;ATIC DELS LLIBRES;0.00
ARNOIA;Q99;ATICA;0.00
ARNOIA;988;ATICO DE LIBROS;0.00
ARNOIA;G84;ATLANTIS EDICIONES;0.00
ARNOIA;594;ATLAS;0.00
ARNOIA;M60;ATLAS EDITIONS;0.00
ARNOIA;G05;ATMOSFERA LITERARIA;0.00
ARNOIA;L25;ATRAVES EDITORA;0.00
ARNOIA;C66;ATRIL;0.00
ARNOIA;YA4;AUFIC ALONSO GASHAAN (IBD);0.00
ARNOIA;B64;AUGA, EDITORIAL;0.00
ARNOIA;560;AUGUR LIBROS;0.00
ARNOIA;K31;AULA EDITORIAL;0.00
ARNOIA;L48;AUNDIR;0.00
ARNOIA;K42;AUTOMATICA EDITORIAL;0.00
ARNOIA;O00;AUX ED.DU PHARE;0.00
ARNOIA;K36;AVOTS;0.00
ARNOIA;H10;AXAC;0.00
ARNOIA;H52;AXOUXERE;0.00
ARNOIA;Y38;AZETA;0.00
ARNOIA;I56;B.A.C;0.00
ARNOIA;J55;BABABUM;0.00
ARNOIA;894;BABEL BOOKS XXI;0.00
ARNOIA;M52;BABIDI  -BU;0.00
ARNOIA;Y79;BABIDIBU LIBROS (IBD);0.00
ARNOIA;K59;BABULINKA;0.00
ARNOIA;H12;BAIA;0.00
ARNOIA;H28;BAIA;0.00
ARNOIA;Y39;BAIA;0.00
ARNOIA;A42;BAILE DEL SOL;0.00
ARNOIA;121;BAINET MEDIA;0.00
ARNOIA;F78;BALDINI CASTOLDI DALAI;0.00
ARNOIA;Q06;BALLON;0.00
ARNOIA;360;BALMES EDICIONES;0.00
ARNOIA;749;BAMBU;0.00
ARNOIA;F42;BANG;0.00
ARNOIA;H61;BANG;0.00
ARNOIA;L42;BAO BILBAO EDICIONES;0.00
ARNOIA;694;BARATARIA;0.00
ARNOIA;A41;BARBANTESA;0.00
ARNOIA;Y83;BARBARA CARTLAND EBOOKS (IBD);0.00
ARNOIA;Y82;BARBARA CARTLAND.COM (IBD);0.00
ARNOIA;G18;BARBARA FIORE;0.00
ARNOIA;A65;BARCANOVA;0.00
ARNOIA;Q16;BARCINO EDITORIAL;0.00
ARNOIA;A25;BARRACUDA;0.00
ARNOIA;A28;BARRIL Y BARRAL;0.00
ARNOIA;637;BARTLEBY;0.00
ARNOIA;667;BASE;0.00
ARNOIA;H91;BASE;0.00
ARNOIA;P36;BASIKA;0.00
ARNOIA;A60;BAULA;0.00
ARNOIA;A02;BAULA;0.00
ARNOIA;K16;BAYARD JEUNESSE;0.00
ARNOIA;J41;BBA;0.00
ARNOIA;B93;BCN MULTIMEDIA (CATALAN);0.00
ARNOIA;B94;BCNMULTIMEDIA;0.00
ARNOIA;898;BD  -BANDA;0.00
ARNOIA;297;BEASCOA;0.00
ARNOIA;176;BEAUMONT;0.00
ARNOIA;746;BELACQVA;0.00
ARNOIA;O24;BELAGUA;0.00
ARNOIA;O82;BELFOND;0.00
ARNOIA;H73;BELLATERRA MUSICA;0.00
ARNOIA;J72;BELLEZA INFINITA;0.00
ARNOIA;417;BELLISCO;0.00
ARNOIA;J84;BELVEDERE;0.00
ARNOIA;856;BENJAMIN CUMMINGS;0.00
ARNOIA;962;BERENICE;0.00
ARNOIA;K87;BERLITZ PUBLISHING;0.00
ARNOIA;M56;BERTRAND EDITORA;0.00
ARNOIA;928;BIBL.AUTORES CRISTIANOS;0.00
ARNOIA;G37;BIBL.DEL LABERINTO;0.00
ARNOIA;F24;BIBL.LA ALHAMBRA;0.00
ARNOIA;H35;BIBLARIA;0.00
ARNOIA;L01;BIBLIOGRAPHISCHES;0.00
ARNOIA;394;BIBLIOPOLIS;0.00
ARNOIA;F58;BIBLIOTECA NUEVA;0.00
ARNOIA;C05;BIBLIOTECA NUEVA ESPAÑA;0.00
ARNOIA;772;BIBLOS CLUBE DE LECTORES;0.00
ARNOIA;P13;BIC;0.00
ARNOIA;D27;BILINGUAL READERS;0.00
ARNOIA;K32;BISPUBLISHERS;0.00
ARNOIA;892;BLACKIE BOOKS;0.00
ARNOIA;0;BLAKE Y HELSEY;0.00
ARNOIA;R04;BLU EDIÇOES;0.00
ARNOIA;B60;BLUME;0.00
ARNOIA;K69;BODYMING;0.00
ARNOIA;G75;BOE;0.00
ARNOIA;F43;BOHODON;0.00
ARNOIA;X05;BOIKIDO;0.00
ARNOIA;H53;BOILEAU;0.00
ARNOIA;J65;BOIRA EDITORIAL;0.00
ARNOIA;H23;BOLANDA;0.00
ARNOIA;F23;BOMORZO;0.00
ARNOIA;K98;BOMPIANI;0.00
ARNOIA;685;BONACCI;0.00
ARNOIA;M40;BONCAHIER;0.00
ARNOIA;K80;BONJINSHA;0.00
ARNOIA;L19;BOOK GROUP;0.00
ARNOIA;Y04;BOOK MASTERS;0.00
ARNOIA;569;BOOKET;0.00
ARNOIA;837;BOOKS4POCKET EDITORIAL;0.00
ARNOIA;I79;BOREAL;0.00
ARNOIA;287;BOSCH;0.00
ARNOIA;393;BOSCH TEXT;0.00
ARNOIA;P74;BOSTIK;0.00
ARNOIA;289;BOVEDA EDITORIAL;0.00
ARNOIA;G64;BRACKET CULTURA;0.00
ARNOIA;C41;BRESCA CATALAN;0.00
ARNOIA;791;BRESCA EDITORIAL S.L.;0.00
ARNOIA;H89;BRIEF;0.00
ARNOIA;J70;BROMERA;0.00
ARNOIA;J54;BROMERA;0.00
ARNOIA;B83;BROMERA EDICIONS;0.00
ARNOIA;J87;BRONTES;0.00
ARNOIA;H02;BROSQUIL;0.00
ARNOIA;A66;BRUIXOLA;0.00
ARNOIA;842;BRUJITA DE PAPEL;0.00
ARNOIA;729;BRUÑO;0.00
ARNOIA;10;BRUÑO;0.00
ARNOIA;Y56;BUBOK PUBLISHING;0.00
ARNOIA;312;BUENA VISTA HOME VIDEO;0.00
ARNOIA;G73;BUENAS LETRAS;0.00
ARNOIA;H46;BUENTOS;0.00
ARNOIA;I53;BULLENT;0.00
ARNOIA;L45;BULULU;0.00
ARNOIA;968;BURIDAN;0.00
ARNOIA;256;BURLINGTON;0.00
ARNOIA;196;BUXOPRODUCIONS;0.00
ARNOIA;J62;BY ME (MACMILLAN/EDELVIVES);0.00
ARNOIA;513;CABALLO DE TROYA;0.00
ARNOIA;A80;CABARET VOLTAIRE;0.00
ARNOIA;G87;CADI;0.00
ARNOIA;A63;CADI EDICIONS;0.00
ARNOIA;467;CAELUS BOOKS;0.00
ARNOIA;F29;CALAMAR;0.00
ARNOIA;G19;CALAMBUR;0.00
ARNOIA;L84;CALAMO;0.00
ARNOIA;M13;CALAMO;0.00
ARNOIA;6;CALENDARIO ZARAGOZANO;0.00
ARNOIA;Y29;CALLIS;0.00
ARNOIA;K76;CAL·LIGRAF;0.00
ARNOIA;226;CAMARA COMERCIO INDUST.OURENSE;0.00
ARNOIA;103;CAMBRIDGE;0.00
ARNOIA;A01;CAMBRIDGE;0.00
ARNOIA;YB2;CAMELOT;0.00
ARNOIA;K90;CAMINHO EDITORA;0.00
ARNOIA;608;CAMPBELL BOOKS;0.00
ARNOIA;Q07;CAMPDS EDITORES;0.00
ARNOIA;Q02;CAMPO DE IDEAS EDITORIAL;0.00
ARNOIA;H16;CANELA;0.00
ARNOIA;F39;CANO PINA;0.00
ARNOIA;P39;CANSON   - GUARRO;0.00
ARNOIA;J39;CANTABRICA;0.00
ARNOIA;P07;CAPEL;0.00
ARNOIA;424;CAPITAN SWING LIBROS;0.00
ARNOIA;M57;CARACTER EDITORA;0.00
ARNOIA;K03;CARAMBA EDITORIAL;0.00
ARNOIA;J96;CARAMBUCO;0.00
ARNOIA;I84;CARCAMO;0.00
ARNOIA;P41;CARCHIVO;0.00
ARNOIA;167;CARENA;0.00
ARNOIA;490;CARENA EDITORS;0.00
ARNOIA;P95;CARIOCA;0.00
ARNOIA;O31;CARISCH;0.00
ARNOIA;G53;CARO RAGGIO;0.00
ARNOIA;F89;CAROCCI;0.00
ARNOIA;K50;CARPE NOCTEM;0.00
ARNOIA;O57;CASA AMERICA CATALUNYA;0.00
ARNOIA;Y06;CASA DA PROA;0.00
ARNOIA;M19;CASA DE CARTON EDITORIAL;0.00
ARNOIA;I57;CASA DE LA BIBLIA;0.00
ARNOIA;O13;CASA SASSETTI;0.00
ARNOIA;Y18;CASARAO DO VERBO;0.00
ARNOIA;F95;CASIMIRO;0.00
ARNOIA;L26;CASIMIRO PARKER;0.00
ARNOIA;P24;CASIO;0.00
ARNOIA;263;CASTALIA EDITORIAL;0.00
ARNOIA;F75;CASTEL NEGRINO;0.00
ARNOIA;G99;CASTELLARTE;0.00
ARNOIA;B39;CASTELLNOU;0.00
ARNOIA;472;CASTELLNOU EDICIONS;0.00
ARNOIA;J26;CASTELLNOU EDITORA VALENCIANA;0.00
ARNOIA;217;CASTERMAN;0.00
ARNOIA;879;CATAPULTA EDITORES;0.00
ARNOIA;51;CATEDRA;0.00
ARNOIA;715;CCG;0.00
ARNOIA;929;CCS;0.00
ARNOIA;36;CEAC EDICIONES;0.00
ARNOIA;F77;CEDAM;0.00
ARNOIA;866;CEDECS;0.00
ARNOIA;E62;CEDEL;0.00
ARNOIA;E19;CEF;0.00
ARNOIA;I25;CENADHIER   - ROGER DE LLURIA;0.00
ARNOIA;O60;CENGAGE;0.00
ARNOIA;G54;CENLIT EDICIONES;0.00
ARNOIA;I12;CENTRE MUN.CULTURA CERVERA;0.00
ARNOIA;C50;CENTRE PASTORAL LITURG.BARC.;0.00
ARNOIA;C47;CENTRO EST.RAMON ARECES;0.00
ARNOIA;M64;CENTRO ESTUDIOS EUROPA HISPAN.;0.00
ARNOIA;A36;CENTRO ESTUDIOS FOTOGRAFICOS;0.00
ARNOIA;C42;CENTRO INVEST.RAMON PIÑEIRO;0.00
ARNOIA;540;CENTRO INVEST.SOCIOLOGICAS  -CIS;0.00
ARNOIA;B67;CENTRO PEN DE GALICIA;0.00
ARNOIA;K52;CENTURYIARROW;0.00
ARNOIA;F37;CEP EDITORIAL;0.00
ARNOIA;D39;CEPC;0.00
ARNOIA;274;CEPE;0.00
ARNOIA;K97;CESOL;0.00
ARNOIA;I52;CEU;0.00
ARNOIA;686;CEYSA;0.00
ARNOIA;Y53;CHANCACAZO;0.00
ARNOIA;O91;CHESSY EDITORIAL;0.00
ARNOIA;K18;CHIADO;0.00
ARNOIA;M92;CHIADO PORTUGAL;0.00
ARNOIA;X18;CHICOS;0.00
ARNOIA;L63;CHINA PUBL HOUSE;0.00
ARNOIA;B17;CHRONICA;0.00
ARNOIA;E42;CIA ESPAÑOLA REPROGRAFIA SERV.;0.00
ARNOIA;M07;CIDEAL;0.00
ARNOIA;Q39;CIENTOCUARENTA;0.00
ARNOIA;J52;CILENGUA;0.00
ARNOIA;C59;CINCA;0.00
ARNOIA;E80;CINTER;0.00
ARNOIA;428;CIRCE;0.00
ARNOIA;873;CIRCULO BELLAS ARTES;0.00
ARNOIA;721;CISCO PRESS;0.00
ARNOIA;C48;CISS;0.00
ARNOIA;Y72;CITMATEL (IBD);0.00
ARNOIA;A40;CIUDAD NUEVA;0.00
ARNOIA;950;CIVITAS;0.00
ARNOIA;869;CLAN;0.00
ARNOIA;Q98;CLASSICA EDITORA;0.00
ARNOIA;F64;CLAVE INTELECTUAL;0.00
ARNOIA;124;CLAVE RECORDS;0.00
ARNOIA;663;CLE  -ANAYA;0.00
ARNOIA;L77;CLE INTERNACIONAL;0.00
ARNOIA;238;CLE INTERNATIONAL;0.00
ARNOIA;F35;CLIC EDICIONES;0.00
ARNOIA;146;CLIPER;0.00
ARNOIA;M18;CLIPMEDIA;0.00
ARNOIA;J28;CLIVIS PUBLICACIONS;0.00
ARNOIA;B55;CLUB EDITOR;0.00
ARNOIA;G56;CLUB EDITOR JOVE;0.00
ARNOIA;J46;COBEL EDICIONES;0.00
ARNOIA;487;COBUILD;0.00
ARNOIA;B06;COCO BOOKS;0.00
ARNOIA;P12;COFRAP (MAPED);0.00
ARNOIA;453;COLEX;0.00
ARNOIA;I85;COLLINS;0.00
ARNOIA;148;COLLINS.;0.00
ARNOIA;L06;COLMENA EDICIONES;0.00
ARNOIA;A75;COLUMNA EDICIONS;0.00
ARNOIA;H31;COL·LEGI D'ARQUITECTES CATALUN;0.00
ARNOIA;A20;COMANEGRA;0.00
ARNOIA;G15;COMANEGRA CATALAN;0.00
ARNOIA;Y49;COMARCA DE TALENTOS, S.C.;0.00
ARNOIA;341;COMARES;0.00
ARNOIA;13;COMBEL;0.00
ARNOIA;L05;COMMERCIAL PRESS;0.00
ARNOIA;336;COMPAÑIA ORIENTAL TINTA;0.00
ARNOIA;D69;COMPLICES EDITORIAL;0.00
ARNOIA;354;COMPLUTENSE ASOC  -PRENSA;0.00
ARNOIA;799;COMPOSTELA EDITORIAL, S.A.;0.00
ARNOIA;E50;COMUNICACION SOCIAL;0.00
ARNOIA;Y62;COMUNICANDO IDEAS;0.00
ARNOIA;D07;CONCELLO DE LUGO;0.00
ARNOIA;C43;CONCELLO DE VALGA;0.00
ARNOIA;E45;CONCELLO PONTEDEUME;0.00
ARNOIA;C75;CONECTA;0.00
ARNOIA;I06;CONFLUENCIAS;0.00
ARNOIA;J68;CONGRESO DE LOS DIPUTADOS;0.00
ARNOIA;C46;CONS.GEN.PODER JUCICIAL;0.00
ARNOIA;F46;CONSEJO GENERAL PODER JUDICIAL;0.00
ARNOIA;J42;CONSEJO GRAL.TRABAJO SOCIAL;0.00
ARNOIA;H96;CONSELL CULTURAL VALLS D'ANEU;0.00
ARNOIA;803;CONSELLO CULTURA GALEGA;0.00
ARNOIA;Y36;CONSELLO DA CULTURA GALEGA;0.00
ARNOIA;E61;CONSELLO RTVE GALICIA;0.00
ARNOIA;E59;CONSULTORES PUBLICIDAD;0.00
ARNOIA;H56;CONTOS EXTRAÑOS;0.00
ARNOIA;F03;CONTRA;0.00
ARNOIA;F04;CONTRA (CATALAN);0.00
ARNOIA;Q65;CONTRABANDO;0.00
ARNOIA;I55;CONTRASEÑA;0.00
ARNOIA;346;COOPERACION EDITORIAL;0.00
ARNOIA;157;CORGI BOOKS;0.00
ARNOIA;D89;CORIMBO;0.00
ARNOIA;817;CORIMBO EDITORIAL S.L.;0.00
ARNOIA;F11;CORINTIA;0.00
ARNOIA;C83;CORNER;0.00
ARNOIA;B68;CORONA BOREALIS;0.00
ARNOIA;Y66;CORONA BOREALIS;0.00
ARNOIA;M24;CORRE LA VOZ;0.00
ARNOIA;H99;CORT EDICIONS;0.00
ARNOIA;Y59;COSSETANIA;0.00
ARNOIA;B84;COSSETANIA EDICIONS;0.00
ARNOIA;126;CREA EDICIONES;0.00
ARNOIA;K02;CREACION;0.00
ARNOIA;G61;CREACIONES COPYRIGHT;0.00
ARNOIA;G29;CREALITE;0.00
ARNOIA;M42;CREATESPACE;0.00
ARNOIA;YA6;CREATIVIDAD EN LAS LETRAS;0.00
ARNOIA;Q70;CRISPIS E AFUNDACION;0.00
ARNOIA;G04;CRISTAL;0.00
ARNOIA;F28;CRISTIANDAD;0.00
ARNOIA;313;CRITICA;0.00
ARNOIA;A94;CRITICA;0.00
ARNOIA;H24;CRMH D'AC;0.00
ARNOIA;A44;CROMOSOMA;0.00
ARNOIA;B91;CROMOSOMA (CATALAN);0.00
ARNOIA;A67;CRUILLA;0.00
ARNOIA;K29;CSED;0.00
ARNOIA;E67;CSIC;0.00
ARNOIA;927;CUADERNOS DEL VIGIA;0.00
ARNOIA;L92;CUATRO EDICIONES;0.00
ARNOIA;E85;CUENTO DE LUZ;0.00
ARNOIA;Y55;CULBUKS;0.00
ARNOIA;Y78;CULTIVA LIBROS (IBD);0.00
ARNOIA;O34;CULTURA CICLISTA;0.00
ARNOIA;K63;CULTURA CLASICA;0.00
ARNOIA;20;CUMIO;0.00
ARNOIA;720;CUMIO;0.00
ARNOIA;Y01;CUMIO;0.00
ARNOIA;521;CUPULA (LIBROS CUPULA);0.00
ARNOIA;C37;CURBET;0.00
ARNOIA;YA5;CUTE EDICIONES;0.00
ARNOIA;K25;CVG;0.00
ARNOIA;369;CYDONIA EDICIONES, S.L.;0.00
ARNOIA;P33;DACS;0.00
ARNOIA;F06;DAE;0.00
ARNOIA;881;DAMARE EDICIONS;0.00
ARNOIA;P65;DAS;0.00
ARNOIA;F60;DAU;0.00
ARNOIA;L33;DAU;0.00
ARNOIA;L58;DAURO;0.00
ARNOIA;Y89;DE BUENA TINTA (IBD);0.00
ARNOIA;O35;DE FRUTOS MARTINEZ;0.00
ARNOIA;L59;DE HASKE;0.00
ARNOIA;C22;DE LA TORRE;0.00
ARNOIA;J48;DE LA VEGA;0.00
ARNOIA;E16;DE PALMA;0.00
ARNOIA;F16;DE PROFUNDIS;0.00
ARNOIA;33;DE VECCHI;0.00
ARNOIA;339;DEBATE;0.00
ARNOIA;643;DEBOLSILLO;0.00
ARNOIA;H59;DEL ASTEROIDE;0.00
ARNOIA;362;DEL ASTEROIDE;0.00
ARNOIA;M93;DEL AZAR;0.00
ARNOIA;656;DEL BRONCE;0.00
ARNOIA;420;DEL LINCE;0.00
ARNOIA;K61;DEL NUEVO EXTREMO;0.00
ARNOIA;G62;DEL PERISCOPI;0.00
ARNOIA;I11;DEL PIRATA, EDICIONS;0.00
ARNOIA;119;DEL PRADO EDICIONES;0.00
ARNOIA;592;DEL VIENTO;0.00
ARNOIA;M10;DELIRIO;0.00
