"IDCLIENTE";"IDDIRECCION";"NOMBRE";"DIRECCION";"POBLACION";"PROVINCIA";"CODIGO POSTAL";"TELEFONOS";"FAX";"E-MAIL";"PERSONA CONTACTO";"ENVIAR COPIA FACTURA";"FACTURACION INDEPENDIENTE";"AGENCIA"
"00027";954;"CIAL. ANDALUZA DE TECNICA Y SUM.  S. L.";"C/ Guaro, 3 (Pol. Ind. Azucarera)";"MALAGA";"Málaga";"29004";"952 246137";"952 244102";;;1;0;
"00028";1070;"DIST. PROFESIONAL DEL AUTOMOVIL MALAGA S. L.";"Diderot, 40  Polígono Guagalhorce";"MALAGA";"Málaga";"29004";;;;;1;0;
"00029";931;"RADIADORES GREGORIO S. L.";"Héroe de Sostoa, 166";"MALAGA";"Málaga";"29003";"952 344389";"952 347431";;;1;0;
"00030";491;"RESUR MOP S. L.";"Los Sueños, 1  Polígono Santa Cruz";"MALAGA";"Málaga";"29190";"952 244351";"952 232588";;;1;0;
"00031";492;"DISTRIBUCIONES MAXIMO S. L.";"Avda. de Andalucía, 90 (bajo)";"MALAGA";"Málaga";"29007";"952 323851";"952 361775";;;1;0;
"00032";493;"AUTO REC. CONFER S. L.";"Bielorrusia, 1 Nave-23";"MALAGA";"Málaga";"29004";"952 056732";"952 962591";;;1;0;
"00033";494;"ALEJANDRO ROS PALOMO  25713127-R";"E. Salazar Chapela,16 P-5 Nave-6 (Pol.Guadalhorce)";"MALAGA";"Málaga";"29004";"952 245419";"952 105678";;;1;0;
"00034";1073;"LUIS MOLEON S. L.";"Carlos Goldoni, 78 (Pol. Guadalhorce)";"MALAGA";"Málaga";"29004";"952 105555";"952 105555";;;1;0;
"00035";495;"FERRET. JOSE ANTONIO LUQUE";"Ciro Alegría, 10 (Polígono Ind. Guadalhorce)";"MALAGA";"Málaga";"29004";"95 2247930";"95 2247931";;;1;0;
"00035";935;"FERRET. JOSE ANTONIO LUQUE";"París, 9 (Polígono Ind. San Luis)";"MALAGA";"Málaga";"29006";;;;;1;0;
"00036";496;"MUNDAUTO S. L.";"Avda. de los Guindos, 19";"MÁLAGA";"Málaga";"29004";"952 172233";"952 240658";;;1;0;
"00037";497;"SILVESTRE AUTODISTRIBUCION S. L.";"Avda. Gregorio Diego, 3";"MALAGA";"Málaga";"29004";"952172903";"952246369";"malaga@gsautobat.com";;1;0;
"00037";1242;"SILVESTRE AUTODISTRIBUCION S. L.";"C/ Recreative, 26";"ESPINARDO";"Murcia";"30100";"968879976";"968305444";;;1;0;
"00037";1273;"SILVESTRE AUTODISTRIBUCION S. L.";;"BAZA";"Granada";;;;;;1;0;
"00037";1293;"SILVESTRE AUTODISTRIBUCION S. L.";;"ALMERIA";"Almería";;;;;;1;0;
"00038";498;"PURIFICACION DIAZ RUIZ";"Avda. Juan XXIII, 2";"MALAGA";"Málaga";"29003";"952311708";"952 350205";;;1;0;
"00039";1048;"ELECTRO FRIO MOTOR S. L.";"Avda. Villa Rosa, 19  Polígono Ind. Villa Rosa";"MALAGA";"Málaga";"29004";;;;;1;0;
"00040";1089;"DANIEL ROS PALOMO";"Esteban Salazar Chapela, 20  Portón-5 Nave-6";"MALAGA";"Málaga";"29004";"952 245357";"952 245357";;;1;0;
"00041";501;"ANTONIO OVES VIADERO";"Cruz del Molinillo, 10";"MALAGA";"Málaga";"29013";;;;;1;0;
"00042";502;"TORNILLERIA MALAGUEÑA S. C. A.";"Eduardo Carvajal, 3";"MALAGA";"Málaga";"29007";"952 313050";"952 313089";;;1;0;
"00042";1129;"TORNILLERIA MALAGUEÑA S. C. A.";"Bahia Blanca, 3 (Polígono San Luis)";"MALAGA";"Málaga";"29006";"952 627195";"952 627194";;;1;0;
"00043";918;"EURO RECAMBIOS AL-ANDALUS S. COOP.";"Avenida Europa, 43";"MALAGA";"Málaga";"29003";;;;;1;0;
"00044";1174;"FREMAX FRENOS MALAGA S. C.";"Tomás Escalonilla, 7";"MALAGA";"Málaga";"29010";"951 403034";;"recambios@fremax.es";;1;0;
"00045";505;"JUAN JOSÉ SEPÚLVEDA JIMÉNEZ";"Obsidiana, Edif. Libra, local- 5";"MÁLAGA";"Málaga";"29006";"952 318781";;;;1;0;
"00046";506;"DAVA S. A. (MA)";"Gerald Brenan, 40 (Pol. Guadalhorce)";"MALAGA";"Málaga";"29004";"95 2176028";;;;1;0;
"00047";510;"FERRET. INDUST. BENSAN S. L.";"Cuevas del Becerro, 13 y 15";"MALAGA";"Málaga";"29006";;;;;1;0;
"00048";511;"A. S. C. DISTRIBUCIONES INDUSTRIALES S. L.";"Tajamar, 16 (Pol. El Viso 2ª Fase)";"MALAGA";"Málaga";"29006";"952 334498";"952 332829";;;1;0;
"00049";512;"DIEGO GRIMALDI DELGADO";"Mercedes Llopart, 6   Local-7";"MALAGA";"Málaga";"29010";"952 068737";"952 361278";;;1;0;
"00050";513;"MARTINEZ AUTOMOCION";"E.Salazar Chapela,16 P-4 Nave 54 B (P.Guadalhorce)";"MALAGA";"Málaga";"29004";"952 244108";"952 324675";;"Emilio";1;0;
"00051";514;"LUBRICANTES MALAGA S. L.";"Francisco de Sarriá, 8";"MALAGA";"Málaga";"29006";"616 429702";;;;1;0;
"00052";868;"RADIATERMICO S. L.";"Av. Manuel Torres, 7 (Bda. El Torcal)";"MALAGA";"Málaga";"29003";"952 318790";"952 347283";;;1;0;
"00053";1076;"REC. INDUSTRIALES MOLEON S. A. (MA)";"Leopoldo Lugonés, Nave-10 (Pol.Guadalhorce)";"MALAGA";"Málaga";"29004";"952 176078";"952 176079";;;1;0;
"00054";1090;"RECAUTO S. C. A.";"Escritor Herrera Santa Olalla,16(Pol.el Rompedizo)";"CHURRIANA";"Málaga";"29140";"952 437142";"952 436129";;;1;0;
"00055";1121;"LLANTACARS S. L.";"Fidias, 5 (Polígono santa Barbara)";"MALAGA";"Málaga";"29004";"952 105519";"952 243970";;;1;0;
"00056";1145;"RECAMBIOS SERRANO S. L.";"Leopoldo Lugones, 47  Nave-15 (Pol. Guadalhorce)";"MALAGA";"Málaga";"29004";"952 174080";"952 238106";;;1;0;
"00057";1152;"DISPROAUTO MALAGA S. L. L.";"Diderot, 40  Polígono Guadalhorce";"MALAGA";"Málaga";"29004";"952 173714";"952 235221";;;1;0;
"00058";1033;"AUTO RECAMBIOS SAN ALBERTO S. L.";"Moraima, 5  bajo";"MALAGA";"Málaga";"29010";"952 309333";"952 307345";"admon@sanalberto.comtenido.com";;1;0;
"00059";1257;"EUROMASTER AUTOMOCION Y SERVICIOS S. A. (MA)";"C/ Arenal, parcela-K9 Pol. Guadalhorce";"MALAGA";"Málaga";"29004";;;;;1;0;
"00060";516;"PALMOPAL S. C. A.";"Alejandro Casona, 53 (Pol.Guadalhorce)";"MALAGA";"Málaga";"29004";"952 173020";"952 173172";;;1;0;
"00061";517;"BOMBEO Y DERIVADOS S. A.";"Jacinto Verdaguer, 26";"MALAGA";"Málaga";"29002";"952 310733";"952 326558";;;1;0;
"00061";923;"BOMDESA";"París, 25 - Pol. San Luís";"MALAGA";"Málaga";"29006";"952 352012";;;;1;0;
"00062";518;"ALMACEN DE FERR. ACSA S. A.";"Río Gargáliga, 2";"MALAGA";"Málaga";"29002";"952 313145";;;;1;0;
"00063";1164;"REPUESTOS MALAGUEÑA INTERMAQUINA S. L. L.";"C/ La Iliada, 19 (Polígono Santa Cruz)";"Málaga";"MALAGA";"29196";"952 172789";"952 962660";;;1;0;
"00064";519;"FEMACON S. L.";" Isolda, Parcela-2  (Pol. Alameda)";"MALAGA";"Málaga";"29006";"952 359421";;;;1;0;
"00065";520;"FEMACON ALQUILERES S. L.";" Isolda, Parcela-54 (Polígono Alameda)";"MALAGA";"Málaga";"29006";"952 354008";;;;1;0;
"00066";521;"FERCAM MAQUINARIA Y HERRAMIENTAS S. L.";"Avda. José Ortega y Gasset ,353 (Pol. El Viso)";"MALAGA";"Málaga";"29006";"952 358330";"952 328792";;;1;0;
"00067";522;"SUMINISTROS VAROCA";"Conde del Guadalhorce, 10";"MALAGA";"Málaga";"29006";"952 312562 952 312562";"952 312566";;;1;0;
"00068";523;"SERMEU S. A.";"Concepción Arenal, s/nº Pol.Guadalhorce";"MALAGA";"Málaga";"29004";"952 242847";;;;1;0;
"00069";1224;"UTILLAJES Y HERRAMIENTAS ALEX S. L.";"C/ Alhambra, 28";"ALHAURIN DE LA TORRE";"Málaga";"29130";;;;;1;0;
"00070";524;"FERNANDO PUCHE S. L.";"Puerto de Málaga, Muelle 1";"MALAGA";"Málaga";"29016";"952 217890";"952 219896";;;1;0;
"00071";525;"CLARA ROA FUERTES";"Plaza del Fuerte, 22 local 1";"MALAGA";"Málaga";"29007";;;;;1;0;
"00072";526;"COMERCIAL IMPORMOVIL S. A.";"La Orotava, 40 (Pol. San Luís)";"MALAGA";"Málaga";"29006";"952 323061";;;;1;0;
"00072";1199;"COMERCIAL IMPORMOVIL S. A.";"Avda. de la Industria, 25";"TRES CANTOS";"Madrid";"28760";"91 8043649";;;;1;0;
"00072";1278;"COMERCIAL IMPORMOVIL S. A.";"C/ Cuarzo, 14 Pol. La Ermita";"MARBELLA";"Málaga";"29603";"952 862188";;;;1;0;
"00073";527;"INLOGAR S. L.";"Camino San Rafael, 44";"MALAGA";"Málaga";"29006";"952 334027";;;;1;0;
"00074";1163;"JOSE MANUEL RUA GARCIA";"Diderot, 28  Nave-3 (Pol. Guadalhorce)";"MALAGA";"Málaga";"29004";"952244741";;;;1;0;
"00075";1057;"OCKER PROFESSIONAL FIXING ESPAÑA S. A.";"C/ Nazarí, Nave-4B  Polígono Ind. Santa Cruz";"BIZCOCHERA";"Málaga";"29196";"951 014693";;;;1;0;
"00076";1218;"AUTORECAMBIOS  ROTISAN  S.L.";"César Vallejo, 19 Nave A (P. GUADALHORCE)";"MALAGA";"Málaga";"29004";"952 311785";"951 102379";;;1;0;
"00077";1227;"RODAMIENTOS CIRIACO Y JOAQUIN S. L.";"Avda. de Velazquez, 8  Local-24";"MALAGA";"Málaga";"29003";"952350940 - 952331713";"952321416";;;1;0;
"00078";1323;"INTERNATIONAL DISTRIBUTION S. L.";"Serrano Fernández, 12";"MALAGA";"Málaga";"29014";"951 133974 -  607 373840";"951 133974";;;1;0;
"00079";1325;"RECICLANOVA METAL S- L.";"Rosa de los Vientos, 40 Pol. Indust. El Viso";"MALAGA";"Málaga";"29006";;;;;1;0;
"00081";528;"FERNANDO MARTIN CARRASQUILLA";"Nerva, 5";"MALAGA";"Málaga";"29004";"952 231038";;;;1;0;
"00082";529;"SUM. IND. ORTEGA Y GASSET S. L.";"Avda. Ortega y Gasset, 107";"MÁLAGA";"Málaga";"29006";"952 316500";"952 316500";;;1;0;
"00090";1195;"SALVADOR GONZALEZ";"E. Salazar Chapela, 16 P-5 N-36 (Pol. Guadalhorce)";"MALAGA";"Málaga";"29004";;;;;1;0;
"00091";1196;"TAXI UNION F. C. A.";"C/ Caudal, 70  Polígono Ind. El Viso";"MALAGA";"Málaga";"29001";;;;;1;0;
"00095";955;"SUMINISTROS ANDEAL S. L.";" Burgos, 8 (Pol. San Luis)";"MALAGA";"Málaga";"29006";;;;;1;0;
"00100";532;"ANA Mª MOLINA DE LOS RIOS";"Urb. Cortijo de Torres F-16";"MALAGA";"Málaga";"29006";"952 346500";"952 346504";;;1;0;
"00100";1133;"MARIA DOLORES CABELLO CABRILLANA";"Avda. de la Constitución, 2";"SAN FERNANDO";"Cádiz";"11100";"653 848987";;;"José Luía Jiménez";1;0;
"00101";855;"ELEC. AUTO A. MORENO S. L.";"Nabucco, 1 (Pol. Alameda)";"MALAGA";"MÁLAGA";"29006";"952 362828";"952 331783";;;1;0;
"00102";1217;"DOLORES MARIA MONTERO CABRERA";"Johannes Kepler, 9 (Parque Tecnológico)";"MALAGA";"Málaga";"29590";"952 020503";"952 020224";"suministros@campyyo.es";;1;0;
"00102";1286;"DOLORES MARIA MONTERO CABRERA";"Avda. Juan Sebastian El Cano, 158";"MALAGA";"Málaga";"29017";"952 294547";"952 201384";;;1;0;
"00103";1233;"FERRETERIA CASIMIRO LUQUE S. L.";"C/ Orotava, 40";"MALAGA";"MÁLAGA";"29006";"952 041990";"952 041991";;;1;0;
"01101";533;"COTOCAR S. L.";"Av. Mijas, s/nº Edf. Serrano / Esq.Circ.Fuengirola";"MIJAS COSTA";"Málaga";"29650";"952 460862";"952 667101";;;1;0;
"01101";1292;"MORENO LARA S. L.";"Bartolomé Esteban Murillo, 17-A (P. La Pañoleta)";"VELEZ MÁLAGA";"Málaga";"29700";"952 557732";"952 558681";;;1;0;
"01102";534;"PREMIER TOOLS S. L.";"Pol. Industrial Cantarranas, s/nº";"COÍN";"Málaga";"29100";"952455143";"952455159";"ventas@premier-tools.com";"Philip Roy";1;0;
"01102";927;"PREMIER TOOLS S. L.";"Av. Jesus Santos Rein, Edf. Lance del Sol (local)";"FUENGIROLA";"Málaga";"29640";"952455143";"952455159";"ventas@premier-tools.com";"Philip Roy";1;0;
"01102";1097;"SOLE SUMINISTROS INDUSTRIALES";"Salvador Lluch, 13";"GAVA";"Barcelona";"08860";"93 6384588";;;;1;0;
"01102";1103;"JESUS PERAL GARCIA";"C/Estrella Sirio, 2 – Bajo";"CORDOBA";"Cordoba";"14007";;;;;1;0;
"01102";1104;"LUBRICANTES LOMAR S.L.";"C/ Inglaterra,43-1 (Pol. Ind. Villalobos)";"PALENCIA";"Palencia";"34004";;;;;1;0;
"01103";535;"AUTO RECAMBIOS CARLOS CUADRADO S. L.";"Rio Guadiana, 26 Local-15";"MIJAS-COSTA";"Málaga";"29649";"952 479641";"952 466834";;;1;0;
"01104";1012;"RODAMIENTOS FUENGIROLA S. L. L.";"Santa Isabel, 2  Polígono Las Cañadas";"MIJAS COSTA";"Málaga";"29650";"952 464409";"952 464409";;;1;0;
"01105";1088;"TALLERES LEAL S. A.";"Crta. Camino de Coín, s/nº";"FUENGIROLA";"Málaga";"29640";;;;;1;0;
"01106";1134;"AUTO PINTURAS FUENGIROLA S. L.";"Camino de Coín km 0,8 (Junto Gasolinera La Vega)";"MIJAS COSTA";"Málaga";"29649";;;;;1;0;
"01106";1135;"AUTO PINTURAS FUENGIROLA S. L.";"Miguel Bueno,12";"FUENGIROLA";"Málaga";"29640";"952 472399";"952 581985";;;1;0;
"01201";536;"ACCESORIOS VIPA S. L.";"Pol. Ind. La Ermita C/ Bronce, 1-5";"MARBELLA";"Málaga";"29600";"952 770484";"952 765155";;;1;0;
"01202";537;"RECAMBIOS LOMEÑA S. L.";"Hierro, 27 (Pol. La Ermita)";"MARBELLA";"Málaga";"29600";"952 826149";"952 766039";;"Juan Antonio Lomeña";1;0;
"01202";942;"RECAMBIOS LOMEÑA S. L.";"Genal, 1 (Pol. El Fuerte)";"RONDA";"Málaga";"29400";"952 161077";"952 874437";;;1;0;
"01202";943;"RECAMBIOS LOMEÑA S. L.";"Newton, 1 (Polígono Industrial)";"ESTEPONA";"Málaga";"29680";"952 790832";"952 790951";;;1;0;
"01202";944;"RECAMBIOS LOMEÑA S. L.";"Pol. Ind. El Salto - C/ B - Parc. 25";"SAN PEDRO DE ALCANTARA";"Málaga";"29670";"952 781030";"952 780789";;"sanpedro.lomena@serca.es";1;0;
"01202";1349;"RECAMBIOS LOMEÑA S. L.";"Paris, 26  Pol. Ind. San Luis";"MALAGA";"Málaga";"29006";"952041111";;;;1;0;
"01203";1206;"COMERCIAL IMPORMOVIL S. A. (MRB)";"Polígono la Ermita C/ Cuarzo,14";"MARBELLA";"Málaga";"29600";"952 862188";"952 778345";;;1;0;
"01203";1207;"COMERCIAL IMPORMOVIL S. A.";"Avenida de la Industria, 25";"TRES CANTOS";"Madrid";"28760";"91 8043649";;;;1;0;
"01204";1252;"RECAMBIOS CECILIO MARBELLA S. L.";"Polígono la Ermita C/ Granito, 20";"MARBELLA";"Málaga";"29603";"952 898791";"952 898513";;;1;0;
"01205";1338;"FERRETERIA Y PISCINAS URBANEJAS S. L. (EHLIS)";"Arias de Velasco, Edf. San Francisco";"MARBELLA";"Málaga";"29600";;;;;1;0;
